ReportingOrgID,ReportingOrgName,SourceOrganizationID,SourceOrganization
BE-BCE_KBO-0264814354,Belgian development agency (Enabel),2927,"Belgium, Government of"
KR-GOV-010,Republic of Korea,2929,"Korea, Republic of, Government of"
XM-DAC-40-3,Greece - Ministry of Foreign Affairs,4547,"Greece, Government of"
XM-DAC-701-8,Japan International Cooperation Agency (JICA),4537,"Japan, Government of"
XM-DAC-61-2,Slovenia - Ministry of Foreign Affairs,4829,"Slovenia, Government of"
NZ-1,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,5369,"New Zealand, Government of"
US-GOV-17,United States Department of Labor,2933,"United States of America, Government of"
US-GOV-6,United States Department of the Treasury,2933,"United States of America, Government of"
US-GOV-TBD,United States Federal Trade Commission,2933,"United States of America, Government of"
US-GOV-22,United States International Development Finance Corporation,2933,"United States of America, Government of"
US-GOV-13,United States African Development Foundation,2933,"United States of America, Government of"
US-GOV-11,United States Department of State,2933,"United States of America, Government of"
US-GOV-32,United States Environmental Protection Agency,2933,"United States of America, Government of"
US-GOV-16,United States Department of Commerce,2933,"United States of America, Government of"
US-GOV-12,United States Trade and Development Agency,2933,"United States of America, Government of"
US-GOV-2,United States Department of Agriculture,2933,"United States of America, Government of"
US-GOV-10,Peace Corps,2933,"United States of America, Government of"
US-GOV-21,Inter-American Foundation,2933,"United States of America, Government of"
US-GOV-26,United States Department of Transportation,2933,"United States of America, Government of"
US-GOV-14,United States Health and Human Services,2933,"United States of America, Government of"
US-GOV-15,United States Department of Justice,2933,"United States of America, Government of"
US-GOV-7,United States Department of Defense,2933,"United States of America, Government of"
US-GOV-20,United States Department of Energy,2933,"United States of America, Government of"
US-GOV-19,United States Department of Homeland Security,2933,"United States of America, Government of"
US-GOV-9,United States Department of Interior,2933,"United States of America, Government of"
US-GOV-18,Millennium Challenge Corporation,2933,"United States of America, Government of"
GB-GOV-9,UK - Department for Work and Pensions,2917,"United Kingdom, Government of"
GB-GOV-10,UK - Department of Health and Social Care (DHSC),2917,"United Kingdom, Government of"
GB-COH-RC000346,UK - Medical Research Council,2917,"United Kingdom, Government of"
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",2917,"United Kingdom, Government of"
GB-GOV-8,UK - Ministry of Defence,2917,"United Kingdom, Government of"
GB-GOV-24,Office for National Statistics,2917,"United Kingdom, Government of"
GB-GOV-21,UK - Scottish Government,2917,"United Kingdom, Government of"
GB-GOV-14,UK â€“ Department for Education,2917,"United Kingdom, Government of"
GB-GOV-2,HM Treasury,2917,"United Kingdom, Government of"
GB-GOV-15,Department for International Trade,2917,"United Kingdom, Government of"
GB-GOV-12,"UK - Department for Digital, Culture, Media and Sport",2917,"United Kingdom, Government of"
GB-GOV-52,"Conflict, Stability and Security Fund",2917,"United Kingdom, Government of"
GB-GOV-50,Cross-Government Prosperity Fund,2917,"United Kingdom, Government of"
GB-GOV-11,HM Revenue and Customs,2917,"United Kingdom, Government of"
GB-GOV-25,"UK Department for Energy, Security and Net Zero",2917,"United Kingdom, Government of"
GB-GOV-26,"UK - Department of Science, Innovation and Technology",2917,"United Kingdom, Government of"
CA-4,Canada Department of Finance / MinistÃ¨re des Finances Canada,2928,"Canada, Government of"
NL-KVK-08215619-201210000,Kadaster International,3008,"Netherlands, Government of"
NL-KVK-30276595,Koninklijk Nederlands Meteorologisch Instituut,3008,"Netherlands, Government of"
NL-KVK-27367015,Netherlands Organisation for Scientific Research (NWO),3008,"Netherlands, Government of"
NL-KVK-77583442,Transition International,3008,"Netherlands, Government of"
XI-IATI-IKI,International Climate Initiative / BMU - IKI Secretariat,4306,"Germany, Government of"
XM-DAC-41114,United Nations Development Programme (UNDP),5294,United Nations Development Programme
XM-DAC-47066,International Organization for Migration (IOM),2986,International Organization for Migration
XM-DAC-41304,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2993,"United Nations Educational, Scientific and Cultural Organization"
XM-DAC-41130,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),3035,United Nations Relief and Works Agency for Palestine Refugees in the Near East
XM-DAC-41140,United Nations World Food Programme (WFP),3049,World Food Programme
XI-IATI-OFID,The OPEC Fund for International Development (OFID),3139,OPEC Fund for International Development
XM-DAC-46004,Asian Development Bank,3243,Asian Development Bank
XM-DAC-41146,UN Women,3569,UN Women
XM-DAC-41119,United Nations Population Fund,4293,United Nations Population Fund
XM-DAC-928,World Health Organization (WHO),4398,World Health Organization
XM-DAC-41301,Food and Agriculture Organization of the United Nations (FAO),4399,Food and Agriculture Organization of the United Nations
XM-DAC-41110,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),4532,United Nations Joint Programme on HIV/AIDS
XM-DAC-41127,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),4396,Office for the Coordination of Humanitarian Affairs
XM-DAC-47501,Global Partnership for Education,10396,Global Partnership for Education
XI-IATI-OCHASDC,United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),4396,Office for the Coordination of Humanitarian Affairs
41120,UN-Habitat,4931,United Nations Human Settlements Programme (UN-HABITAT)
XI-IATI-EC_INTPA,European Commission - International Partnerships,8524,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)
XI-IATI-EC_FPI,European Commission - Service for Foreign Policy Instruments,2966,European Commission
XI-IATI-EC_NEAR,European Commission - Neighbourhood and Enlargement Negotiations,2966,European Commission
GB-CHC-209131,British Council,1592,British Council
XM-DAC-5-52,Germany GIZ Non BMZ,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit
XI-IATI-EC_ECHO,European Commission - Humanitarian Aid & Civil Protection,8523,European Commission's Humanitarian Aid and Civil Protection Department
XM-DAC-41301,Food and Agriculture Organization (FAO),4399,Food and Agriculture Organization of the United Nations
XM-DAC-41140,World Food Programme,3049,World Food Programme
NO-BRC-972417920-1,Norad - Norwegian Agency for Development Cooperation,2930,"Norway, Government of"
NO-BRC-972417920,Norad - Norwegian Agency for Development Cooperation,2930,"Norway, Government of"
XM-DAC-45001,International Trade Centre (ITC),,
XI-IATI-WBTF,World Bank Trust Funds,4820,World Bank
44000,World Bank,4820,World Bank
,,971,UN Multi-Partner Trust Fund
,,87,"Qatar, Government of"
XM-DAC-41100,United Nations - Other,5260,United Nations
,,2913,"Chad, Government of"
,,4842,"Gabon, Government of"
,,4384,"Luxembourg, Government of"
,,12099,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic)
XM-DAC-44001,International Bank for Reconstruction and Development (IBRD),,
XM-DAC-41123,United Nations Industrial Development Organization (UNIDO),,
XM-DAC-44001,International Bank for Reconstruction and Development ,,
,,2922,"Cyprus, Government of"
,,4858,"Monaco, Government of"
XM-DAC-46003,African Development Bank,3787,African Development Bank
XM-DAC-TSF,Transition Support Facility,4820,World Bank
KR-GOV-051,Korea International Cooperation Agency,2929,"Korea, Republic of, Government of"
44002,IDA Credit,4820,World Bank
44001,International Bank for Reconstruction and Development,,
,,2976,"China, Government of"
,,3003,"Estonia, Government of"
,,4845,"Iceland, Government of"
,,4849,"Kuwait, Government of"
,,8550,Jersey Overseas Aid
,,13154,European External Action Service
,,86,"Poland, Government of"
,,102,"Viet Nam, Government of"
,,5301,"Portugal, Government of"
,,3696,Intergovernmental Authority on Development
,,7771,Sudan Humanitarian Fund
,,12469,Multi-donor flexible humanitarian contribution (UNICEF Regional Humanitarian Thematic)
,,7173,Education Above All Foundation
XI-IATI-UNPF,UN Pooled Funds,,
,,4331,"Liechtenstein, Government of"
,,98,"Thailand, Government of"
,,4548,"Philippines, Government of"
GB-CHC-1115482,BRAC UK,,
NL-KVK-41160054,Cordaid,4332,Cordaid International
GB-COH-1762840,HelpAge International,,
XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le dÃ©veloppement international, ES: Centro Internacional de Investigaciones para el Desarrollo",,
GB-COH-877338,The Institute of Development Studies,,
NL-KVK-41150085,Nuffic,,
GB-COH-07157505,ODI Sales Limited,,
GB-CHC-000391,The Open University,,
NL-KVK-27108436,Oxfam Novib,744,Oxfam
GB-COH-1364201,Plan International UK,3369,Plan International
GB-COH-03580586,PricewaterhouseCoopers LLP,,
DK-CVR-63407216,Red Barnet,,
GB-CHC-209603,Royal National Lifeboat Institution (RNLI),,
GB-CHC-1076497,Sense International,,
NL-KVK-40594571,Stichting Simavi,,
GB-CHC-207544,Sightsavers,,
CH-FDJP-CHE107828868,Swisscontact,,
DAC-1601,Gates Foundation,,
XI-GRID-grid.7836.a,University of Cape Town,,
GB-CHC-313757,Voluntary Service Overseas,,
BE-BCE_KBO-0413986102,WSM,,
