"ReportingOrgName","SourceOrganization","TransactionProviderName","RecipientOrgName","DestinationOrganization"
"Ministry of Foreign Affairs, Denmark","Denmark, Government of","Ministry of Foreign Affairs, Denmark","International Bank for Reconstruction and Development ","International Bank for Reconstruction and Development "
"Ministry of Foreign Affairs, Denmark","Denmark, Government of","Ministry of Foreign Affairs, Denmark","PlanBørnefonden","PlanBørnefonden"
"DAI Global UK","Denmark, Government of","Ministry of Foreign Affairs, Denmark","United Nations Children's Fund (UNICEF)","United Nations Children's Fund"
"Ministry of Foreign Affairs, Denmark","Denmark, Government of","Ministry of Foreign Affairs, Denmark","United Nations Children's Fund (UNICEF)","United Nations Children's Fund"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","CISP - COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI ONG/ON","CISP - COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI ONG/ON"
"Ministry of Foreign Affairs, Denmark","Denmark, Government of","Ministry of Foreign Affairs, Denmark","Ministry of Foreign Affairs, Denmark","Ministry of Foreign Affairs, Denmark"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","International Bank for Reconstruction and Development (IBRD)","International Bank for Reconstruction and Development (IBRD)"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","United Nations Office for Project Services (UNOPS)","United Nations Office for Project Services"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","AICS - Italian Agency for Cooperation and Development","AICS - Italian Agency for Cooperation and Development"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","MINISTRY OF FINANCE ETHIOPIA ALT","MINISTRY OF FINANCE ETHIOPIA ALT"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","United Nations Industrial Development Organization (UNIDO)","United Nations Industrial Development Organization (UNIDO)"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","BUSAJO ONLUS","BUSAJO ONLUS"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","IL SOLE ONLUS - ASSOCIAZIONE PER LE COOPERAZIONE INTERNAZIONALE ","IL SOLE ONLUS - ASSOCIAZIONE PER LE COOPERAZIONE INTERNAZIONALE "
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","VOLONTARIATO INTERNAZIONALE PER LO SVILUPPO ONG/ON","VOLONTARIATO INTERNAZIONALE PER LO SVILUPPO ONG/ON"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","CEFA - COMITATO EUROPEO PER LA FORMAZIONE E L'AGRICOLTURA ONG","CEFA - COMITATO EUROPEO PER LA FORMAZIONE E L'AGRICOLTURA ONG"
"Department of Commerce","United States of America, Government of",NA,"",""
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","",""
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","United Nations Development Programme (UNDP)","United Nations Development Programme"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","UNESCO - ORGANIZZAZIONE DELLE NAZIONI UNITE PER L'EDUCAZIONE, LA SCIENZA E LA CULTURA","United Nations Educational, Scientific and Cultural Organization"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","AISPO - ASSOCIAZIONE ITALIANA PER LA SOLIDARIETÀ TRA I POPOLI ONG/ON","AISPO - ASSOCIAZIONE ITALIANA PER LA SOLIDARIETÀ TRA I POPOLI ONG/ON"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","OVCI - ORGANISMO DI VOLONTARIATO PER LA COOPERAZIONE INTERNAZIONALE ONG/ON","OVCI - ORGANISMO DI VOLONTARIATO PER LA COOPERAZIONE INTERNAZIONALE ONG/ON"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","AMREF HEALTH AFRICA ONG/ON","AMREF HEALTH AFRICA ONG/ON"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","UNIVERSITÀ DEGLI STUDI ROMA TRE","UNIVERSITÀ DEGLI STUDI ROMA TRE"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","POLITECNICO DI MILANO ALT","POLITECNICO DI MILANO ALT"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","ASSOCIAZIONE PRO TERRA SANCTA ONG/ON","ASSOCIAZIONE PRO TERRA SANCTA ONG/ON"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","FONDAZIONE GIOVANNI PAOLO II ONLUS","FONDAZIONE GIOVANNI PAOLO II ONLUS"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA)","United Nations Relief and Works Agency for Palestine Refugees in the Near East"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","REGGIO TERZO MONDO ONLUS ONG","REGGIO TERZO MONDO ONLUS ONG"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","FONDAZIONE AVSI ONG/ON","FONDAZIONE AVSI ONG/ON"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","EDUCAID ONG","EDUCAID ONG"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","UNIONE DEI COMUNI DEL TRASIMENO EPE","UNIONE DEI COMUNI DEL TRASIMENO EPE"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","MOFP - Ministero delle Finanze e Pianificazione territori palestinesi","MOFP - Ministero delle Finanze e Pianificazione territori palestinesi"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","COMUNE DI GUBBIO","COMUNE DI GUBBIO"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","UNFPA - FONDO DELLE NAZIONI UNITE PER LE ATTIVITÀ DELLE POPOLAZIONI","UNFPA - FONDO DELLE NAZIONI UNITE PER LE ATTIVITÀ DELLE POPOLAZIONI"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","UNIVERSITÀ DEGLI STUDI DI PERUGIA","UNIVERSITÀ DEGLI STUDI DI PERUGIA"
"AICS - Italian Agency for Cooperation and Development","Italy, Government of","AICS - Italian Agency for Cooperation and Development","UNICEF - FONDO DELLE NAZIONI UNITE PER L'INFANZIA","United Nations Children's Fund"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","INTERNATIONAL LABOUR ORGANIZATION*ORGANISATION INTERNATIONALE DU TRAVAIL","International Labour Organization"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","GONOPROJATONTRI BANGLADESH*REPUBLIQUE POPULAIRE DU BANGLADESH PEOPLES REPUBLIC OF BANGLADESH","GONOPROJATONTRI BANGLADESH*REPUBLIQUE POPULAIRE DU BANGLADESH PEOPLES REPUBLIC OF BANGLADESH"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","United Nations Children's Fund (UNICEF)","United Nations Children's Fund"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","ENABEL, BELGISCH ONTWIKKELINGSAGENTSCHAP*ENABEL, AGENCE BELGE DE DEVELOPPEMENT","Belgium, Government of"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","FONDS DE DEVELOPPEMENT DES SERVICES DE SANTE","FONDS DE DEVELOPPEMENT DES SERVICES DE SANTE"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","United Nations World Food Programme (WFP)","World Food Programme"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","",""
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","FONDAZIONE AVSI","FONDAZIONE AVSI"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","MALTESER HILFSDIENST EV","MALTESER HILFSDIENST EV"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","WORLD VISION CANADA - VISION MONDIALE CANADA","WORLD VISION CANADA - VISION MONDIALE CANADA"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","SEQUA GGMBH*","SEQUA GGMBH*"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","PLAN INTERNATIONAL SUOMI SR*PLAN INTERNATIONAL FINLAND SR","PLAN INTERNATIONAL SUOMI SR*PLAN INTERNATIONAL FINLAND SR"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","United Nations Children's Fund (UNICEF)","United Nations Children's Fund"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","Food and Agriculture Organization of the United Nations (FAO)","Food and Agriculture Organization of the United Nations"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","FUNDACION JOVENES Y DESARROLLO*","FUNDACION JOVENES Y DESARROLLO*"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","REDD BARNA*SAVE THE CHILDREN NORWAY","REDD BARNA*SAVE THE CHILDREN NORWAY"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","ADRA MYANMAR","ADRA MYANMAR"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","REDD BARNA*SAVE THE CHILDREN NORWAY","REDD BARNA*SAVE THE CHILDREN NORWAY"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","DEUTSCHER AKADEMISCHER AUSTAUSCHDIENST EV*DAAD GERMAN ACADEMIC EXCHANGE SERVICE","DEUTSCHER AKADEMISCHER AUSTAUSCHDIENST EV*DAAD GERMAN ACADEMIC EXCHANGE SERVICE"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","HELVETAS SWISS INTERCOOPERATION","HELVETAS SWISS INTERCOOPERATION"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","International Bank for Reconstruction and Development (IBRD)","International Bank for Reconstruction and Development (IBRD)"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","Germany GIZ Non BMZ","Deutsche Gesellschaft für Internationale Zusammenarbeit"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","International Bank for Reconstruction and Development (IBRD)","International Bank for Reconstruction and Development (IBRD)"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Educational, Scientific and Cultural Organization"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","PLAN IRELAND CHARITABLE ASSISTANCE","PLAN IRELAND CHARITABLE ASSISTANCE"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","PELASTAKAA LAPSET RY RUOTSIKSI RADDA BARNEN RF","PELASTAKAA LAPSET RY RUOTSIKSI RADDA BARNEN RF"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","International Organization for Migration (IOM)","International Organization for Migration"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","STICHTING CARE NEDERLAND*","STICHTING CARE NEDERLAND*"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","Germany GIZ Non BMZ","Deutsche Gesellschaft für Internationale Zusammenarbeit"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","INTERGOVERNMENTAL AUTHORITY ON DEVELOPMENT*IGAD","INTERGOVERNMENTAL AUTHORITY ON DEVELOPMENT*IGAD"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","KENYATTA UNIVERSITY*KU","KENYATTA UNIVERSITY*KU"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","ADRA DEUTSCHLAND EV*","ADRA DEUTSCHLAND EV*"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","RED BARNET","RED BARNET"
"European Commission - Directorate-General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","INTERNATIONAL ATOMIC ENERGY AGENCY*","INTERNATIONAL ATOMIC ENERGY AGENCY*"
"European Commission - Directorate General for International Partnerships","European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO)","European Commission - Directorate General for International Partnerships","Agence FranÃ§aise de DÃ©veloppement","France, Government of"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","ENABEL, BELGISCH ONTWIKKELINGSAGENTSCHAP*ENABEL, AGENCE BELGE DE DEVELOPPEMENT","Belgium, Government of"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","MUNICIPAL DEVELOPMENT AND LENDING FUND*","MUNICIPAL DEVELOPMENT AND LENDING FUND*"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","STICHTING OXFAM NOVIB*","Oxfam"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","SAVE THE CHILDREN ITALIA ETS","SAVE THE CHILDREN ITALIA ETS"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","STICHTING WAR CHILD*WCH","STICHTING WAR CHILD*WCH"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","FUNDACION EDUCACION PARA EL EMPLEO","FUNDACION EDUCACION PARA EL EMPLEO"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","THE PALESTINIAN NON-GOVERNMENTAL ORGANIZATION NETWORK*","THE PALESTINIAN NON-GOVERNMENTAL ORGANIZATION NETWORK*"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","ORGANIZZAZIONE OVERSEAS PER LO SVILUPPO GLOBALE DI COMUNITA IN PAESI EXTRAEUROPEI ONLUS","ORGANIZZAZIONE OVERSEAS PER LO SVILUPPO GLOBALE DI COMUNITA IN PAESI EXTRAEUROPEI ONLUS"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","UNITED NATIONS OFFICE FOR PROJECT SERVICES*BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS","United Nations Office for Project Services"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","EDUCAID ONLUS ASSOCIAZIONE*","EDUCAID ONLUS ASSOCIAZIONE*"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","ASSOCIAZIONE DI TERRA SANTA","ASSOCIAZIONE DI TERRA SANTA"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","EL HAKAWATI THEATRE","EL HAKAWATI THEATRE"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","THE PALESTINIAN NATIONAL THEATRE","THE PALESTINIAN NATIONAL THEATRE"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","ALNAYZAK FOR EXTRACURRICULAR EDUCATION RA","ALNAYZAK FOR EXTRACURRICULAR EDUCATION RA"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","Save the Children","Save the Children"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","United Nations Children's Fund (UNICEF)","United Nations Children's Fund"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","AKF","AKF"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","BRAC","BRAC"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","United Nations High Commissioner for Refugees (UNHCR)","United Nations High Commissioner for Refugees"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","UNESCO","UNESCO"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","Plan","Plan"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","NRC","NRC"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","TSF","TSF"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","Imagine1day","Imagine1day"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","United Nations World Food Programme (WFP)","World Food Programme"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","CARE","CARE"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","ADRA","ADRA"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","LWF","LWF"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","Finn Church Aid","Finn Church Aid"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","UNRWA","UNRWA"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","IRW","IRW"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","Mercy Corps","Mercy Corps"
"Education Cannot Wait","Education Cannot Wait Fund","Education Cannot Wait","Kyiv School of Economics","Kyiv School of Economics"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","STATE ESTABLISHMENT LUGANSK STATEMEDICAL UNIVERSITY","STATE ESTABLISHMENT LUGANSK STATEMEDICAL UNIVERSITY"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","DERZHAVNIY ZAKLAD LUGANSKIY NATSIONALNIY UNIVERSITET IMENI TARASA SHEVCHENKA*STATE INSTITUTION LUHANSK TARAS SHEVCHENKO NATIONAL UNIVERSITY","DERZHAVNIY ZAKLAD LUGANSKIY NATSIONALNIY UNIVERSITET IMENI TARASA SHEVCHENKA*STATE INSTITUTION LUHANSK TARAS SHEVCHENKO NATIONAL UNIVERSITY"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","Germany GIZ Non BMZ","Deutsche Gesellschaft für Internationale Zusammenarbeit"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","DONETSK STATE UNIVERSITY OF INTERNAL AFFAIRS","DONETSK STATE UNIVERSITY OF INTERNAL AFFAIRS"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","STATE INSTITUTION OF HIGHER EDUCATION DONETSK NATIONAL TECHNICAL UNIVERSITY*DONNTU","STATE INSTITUTION OF HIGHER EDUCATION DONETSK NATIONAL TECHNICAL UNIVERSITY*DONNTU"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT","EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","KREDITANSTALT FUR WIEDERAUFBAU*","KREDITANSTALT FUR WIEDERAUFBAU*"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","DONBASKA NATSIONALNA AKADEMIYA BUDIVNYTSTVA I ARKHITEKTURY*DONBAS NATIONAL ACADEMY OF CIVIL ENGINEERING AND ARCHITECTURE","DONBASKA NATSIONALNA AKADEMIYA BUDIVNYTSTVA I ARKHITEKTURY*DONBAS NATIONAL ACADEMY OF CIVIL ENGINEERING AND ARCHITECTURE"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","INSTITUTE OF HIGHER EDUCATION OF THE NATIONAL ACADEMY OF EDUCATIONAL SCIENCES OF UKRAINE","INSTITUTE OF HIGHER EDUCATION OF THE NATIONAL ACADEMY OF EDUCATIONAL SCIENCES OF UKRAINE"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","FUNDACJA CENTRUM EUROPEJSKIE - NATOLIN*CEN","FUNDACJA CENTRUM EUROPEJSKIE - NATOLIN*CEN"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","MARIUPOL STATE UNIVERSITY*MARIUPOLSKYI DERZHAVNYI UNIVERSYTET","MARIUPOL STATE UNIVERSITY*MARIUPOLSKYI DERZHAVNYI UNIVERSYTET"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","LUHANSK OBLAST NON GOVERNMENTAL ORGANISATION AGRICULTURAL EXTENSION SERVICE","LUHANSK OBLAST NON GOVERNMENTAL ORGANISATION AGRICULTURAL EXTENSION SERVICE"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","PROJECTOR FOUNDATION NON-GOVERNMENTAL ORGANIZATION","PROJECTOR FOUNDATION NON-GOVERNMENTAL ORGANIZATION"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","SCHOOLTOGO","SCHOOLTOGO"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","INTERNATIONAL CHARITABLE FUND SAVED","INTERNATIONAL CHARITABLE FUND SAVED"
"European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations","European Commission","European Commission - Directorate General for Neighbourhood and Enlargement Negotiations","United Nations Children's Fund (UNICEF)","United Nations Children's Fund"
